snack_id	name	image	flavor	type_id
70	순감자 글루텐프리 맥주안주 아이간식 감자스틱 국내산 자색 고구마 과자 대용량 150g	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2aa8/4041167842307dde0c1b5ff224d82697ba73d08a79363851d88cae0eb5d8.jpg	짭짤한맛	감자과자
71	프링글스 오리지날 감자스낵	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4198339885384470-0cb3739c-8182-4e0a-85cb-e8f6f0d5593a.jpg	짭짤한맛	감자과자
72	감자알칩 치즈마요맛	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/12/22/13/2/c8b16156-49b0-45fc-bc98-e10b1540cbe1.jpg	짭짤한맛	감자과자
73	프링글스 오리지날 감자스낵	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/958d/33b321ec6e52d4d25550e722c4e9b193e3478677d29f5926306be274d195.jpg	짭짤한맛	감자과자
74	라아부엘라니에베스 포테이토칩	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/426307522782596-18ce2a3d-8f9f-44d1-90c3-41b1ff5537e6.jpg	짭짤한맛	감자과자
75	포테토칩 육개장사발면맛	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/17832485270336-0afbf537-1678-40cf-8743-6aecfe207143.jpg	짭짤한맛	감자과자
76	미라클세일 해태제과 자가비 짭짤한맛 90g 12개	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5784/8f5d277b87377190a868edf15ec6e26fbaf47b23c563b13b46d1e617ca8d.jpg	짭짤한맛	감자과자
77	달곰삼삼 글루텐프리 맥주안주 아이간식 감자스틱 국내산 양파맛 과자 대용량 140g	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/9788/5ae71bb04daaf997e2284c2eeda6ab63074202747a32d7ffd35bb1c15a22.jpg	짭짤한맛	감자과자
78	보닐라 아 라 비스타 저염 감자칩	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a80e/067a699b34f160a1dcdd3585dab03f24c849181d135b63538076eb8910d9.jpg	짭짤한맛	감자과자
79	이케아 FESTLIGT 페스틀릭트 감자칩 150g 504.719.84	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/afc5/09edeb4ac7eae237b0ee4e24eed8124867fb9949436bd4fdb345da46acd3.jpg	짭짤한맛	감자과자
