이름,이미지,맛,종류
"아미카 엘도라다 올리브오일 감자칩, 130g, 3개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15150475456645888-6939432a-7afb-403f-b5e4-8830f5ff72dd.jpg,짭짤한맛,감자과자
"오리온 포카칩 오리지널, 66g, 20개",https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a859/e9c9cee5015c7109cbca39eb54c044f3a3aecdb3a3344e526d56c4739898.jpg,짭짤한맛,감자과자
"프링글스 치즈 110g 12개, 단일 수량",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dcbe/d47ec135a0172f5e16dd2e9632dd512973f330e6a6e8d94f30f22fce1eed.jpg,짭짤한맛,감자과자
"헌터푸드 헌터스고메 수제감자칩 블랙트러플앤파마산, 25g, 10개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c915/9aaa7d3f0179f8636a6c3f81791a274b25b37c6dea2424c27afa24dc4aad.png,짭짤한맛,감자과자
"프링글스 양파맛, 53g, 16개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/902e/3ffe28fa9318e647f286cdc15eeb0f8225e9e7cb104134f1b053ea2127e7.jpg,짭짤한맛,감자과자
"해태제과 자가비 짭짤한맛 스낵 파우치, 45g, 9개",https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e161/2652e9cef9edf7a4c96daac784261f8f361e4319910938df6da2dfd3ef61.jpg,짭짤한맛,감자과자
"해태제과 구운감자슬림 12p, 240g, 4개",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2119212338116404-c9608832-2260-4551-a76b-9369ef60282d.jpg,짭짤한맛,감자과자
"예감 치즈그라탕, 204g, 3개",https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4b19/1e35cb9cd03cb7ecf9f830041b3877e3f9f23b296fb80750bda6547aaaba.jpg,짭짤한맛,감자과자
"보닐라 아 라 비스타 저염 감자칩, 275g, 1개",https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a80e/067a699b34f160a1dcdd3585dab03f24c849181d135b63538076eb8910d9.jpg,짭짤한맛,감자과자
"프링글스 오리지날 감자스낵, 110g, 12개입",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/95489031776864-9c5c75e5-c2f7-450b-bd69-d38a592fa4fa.jpg,짭짤한맛,감자과자
